,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
131,,Foxp4,Pcdh15,Pde9a,Tpbg,St3gal5
132,,Fst,Pcdh17,Chd1l,Twsg1,Lrrtm1
133,,Fstl1,Pcdh19,Gadd45b,Zdhhc14,Tprkb
134,,Gabbr1,Pcp2,Prkg1,,Plxna1
135,,Gabbr2,Pcp4,Fgf14,,Slc6a6
136,,Gabra5,Peg10,Nrk,,Lmcd1
137,,Gal3st3,Pik3c2b,Cnot4,,Srgap3
138,,Galnt14,Pkp3,Srprb,,Fam21
139,,Galnt15,Plcb3,Lhx1,,Erc1
140,,Galr1,Plekhd1,Ptpn12,,Tuba8
141,,Garnl3,Plekhd1os,B3galt1,,Clstn3
142,,Gchfr,Ppapdc2,Manba,,Ntf3
143,,Gda,Ppp1r16b,Myo10,,Kcna6
144,,Gdf11,Ppp1r17,Cacna2d2,,Prmt8
145,,Gfap,Ppp1r1b,Fut9,,Tspan11
146,,Glra2,Ppp4r4,Ipo4,,Pde3a
147,,Gm5083,Prmt8,Ppp1r14b,,Bcat1
148,,Gm973,Psd2,Gsk3b,,Far2
149,,Gng13,Ptprr,Arhgef12,,Tmtc1
150,,Gng4,Rasal1,Spcs3,,Cox6b2
151,,Gpc5,Rdh11,Rnh1,,Cic
152,,Gpr101,Rell1,Tm6sf1,,Sirt2
153,,Gpr158,Rgs16,Rhobtb2,,Clip3
154,,Gpr63,Rgs8,Fbxw2,,Chst8
155,,Gpr83,Rhobtb2,Igfbp5,,Kcnc3
156,,Grem2,Rmdn3,Itsn1,,Dbp
157,,Grid2,Rnf19b,Synj2,,Kcnc1
158,,Grid2ip,Rtel1,Suz12,,Nell1
159,,Grik1,Rtn4rl1,Car7,,Vimp
160,,Grp,Samd8,Fip1l1,,Cpeb1
161,,H2-D1,Sbk1,Lphn1,,Mesdc1
162,,Hdc,Scn3b,Rgs8,,Syt9
163,,Homer3,Sdc1,Wnk2,,St5
164,,Hpcal1,Sema3a,Mrps7,,Mical2
165,,Hr,Sema7a,Ndst3,,Prkcb
166,,Hrh3,Serpinb2,Bai1,,Sbk1
167,,Hrk,Shank2,Bace1,,Maz
168,,Hs3st4,Slc20a1,Cbl,,Stx1b
169,,Hspa12a,Slc6a6,2610507B11Rik,,Fgfr2
170,,Htr1a,Slc9a3,Psmd11,,Tacc2
171,,Htr7,Spag5,Itpr1,,Bub3
172,,Icmt,Spns2,Pcp4,,Lhpp
173,,Id2,Srl,Fut8,,Zranb1
174,,Igfbp5,Stac,Sepw1,,Ppp2r2d
175,,Igsf1,Stk17b,Nr2f6,,Inpp5a
176,,Iltifb,Strn3,Usp14,,Sprn
177,,Impg2,Sulf2,Bub3,,Th
178,,Inpp4a,Syt16,Cplx1,,Cd81
179,,Inpp5a,Th,Cidea,,Cars
180,,Ipo5,Tle3,Acsl4,,Shank2
181,,Irs2,Tmem200b,Mab21l2,,Ccnd1
182,,Itgb1bp1,Tmtc1,Rab14,,Pcp2
183,,Itpka,Tpbg,Spock1,,Trappc5
184,,Jup,Trabd2b,Sim1,,Ank1
185,,Kalrn,Trhde,Wnt7b,,D8Ertd82e
186,,Kcna6,Trpc3,Itga4,,Snx25
187,,Kcnab1,Tspan11,H2afy2,,Tll1
188,,Kcnc3,Tspan14,Dll4,,Homer3
189,,Kcng4,Tspan18,Rab24,,Nr2f6
190,,Kcnh5,Tspan2,Magee1,,Large
