,Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
2600,Fbxo11,-0.40903344799999997,0.753127773
2601,Foxn2,-0.23428031800000002,0.850108966
2602,Nrxn1,-0.15899349699999998,0.895649707
2603,Adcyap1,0.77548629,1.711766941
2604,Zfp263,0.101883918,1.073173933
2605,1700037C18Rik,0.309381455,1.239176298
2606,Crebbp,-0.440511465,0.736873326
2607,Srl,-0.7962971329999999,0.575825214
2608,Tfap4,0.362834066,1.285949569
2609,Hmox2,0.172659874,1.12713465
2610,Rogdi,0.271709204,1.207237231
2611,Glyr1,0.151396155,1.1106437679999999
2612,Tmem186,0.179312602,1.132344231
2613,Pmm2,0.292493165,1.224754986
2614,1810013L24Rik,-0.198839337,0.871251212
2615,Grin2a,-0.312498868,0.805245798
