Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
Sema4d,-0.291091472,0.817283508
Diras2,-0.167719647,0.890248715
Nfil3,-0.381889373,0.767431893
Hrh2,-0.731003225,0.602484811
Thoc3,0.179510161,1.132499302
Higd2a,0.213618338,1.159592846
Cltb,0.220359355,1.165023741
Rnf44,-0.444584519,0.7347959
Zfp346,-0.280948788,0.823049561
Nsd1,-0.150645092,0.900847564
Rab24,0.183548316,1.135673649
Ddx41,0.127674595,1.092531287
Caml,0.233284175,1.175507852
Cxcl14,0.290166706,1.222781564
Fbxl21,-0.265185356,0.832091821
Smad5,-0.098434433,0.934046039
Trpc7,-0.200799659,0.870068167
Spock1,-0.295781404,0.814630986
Hnrnpa0,-0.471987695,0.720970585
Idnk,0.278006583,1.212518352
Ubqln1,-0.123351984,0.918052152
2210016F16Rik,0.261379033,1.198623889
Naa35,-0.126858294,0.915823637
Golm1,0.285586566,1.218905741
Gas1,-0.370852739,0.77332527
Zfp808,-0.620457113,0.650464798
Ptch1,-0.52962321,0.692735633
Habp4,0.169273332,1.124491949
Aaed1,0.149025127,1.108819956
Hiatl1,-0.156502947,0.897197218
Ptdss1,0.1186122,1.085689981
NA,-0.170397907,0.888597565
Papd7,-0.298464745,0.813117221
Srd5a1,0.181412876,1.133993897
Ube2ql1,-0.309350878,0.807004779
Med10,0.265635282,1.202165299
Irx2,0.271856427,1.207360433
Lpcat1,0.169012755,1.124288864
Brd9,0.206795409,1.154121738
Cep72,-1.096175909,0.467754712
Pdcd6,0.127396166,1.092320457
Pcsk1,-0.439242184,0.737521911
Ell2,0.215318054,1.160959829
Mctp1,-0.357424408,0.780556837
Ankrd32,-0.185496971,0.879346112
2210408I21Rik,-0.260252148,0.834941979
Fam172a,-0.1375608,0.909054818
Tmem161b,-0.223135442,0.856701523
Rasa1,-0.297633708,0.813585737
Tmem167,-0.134158373,0.911201247
Rasgrf2,0.67209512,1.593385244
Cmya5,-0.847132504,0.555888521
Jmy,-0.242812961,0.84509594
Lhfpl2,0.440959066,1.357506463
Ap3b1,0.101321019,1.072755293
Crhbp,1.468590617,2.767514004
Iqgap2,0.439674228,1.35629803
Sv2c,-0.58447063,0.666893998
Col4a3bp,-0.154020891,0.898742113
Btf3,0.252748579,1.191474916
Fcho2,-0.35985294,0.779244007
Tnpo1,-0.16695857,0.890718479
Map1b,-0.299366593,0.812609089
Smn1,0.163651317,1.120118462
Gtf2h2,0.167042434,1.122754445
Rad17,0.141806796,1.10328598
Pik3r1,0.262836516,1.199835411
Mast4,-0.529797912,0.692651752
Srek1ip1,0.176926211,1.130472745
Rgs7bp,-0.319354475,0.801428392
Htr1a,1.122872472,2.177801514
Kif2a,-0.44842732,0.732841282
Pde4d,-0.21324271,0.862596215
Rab3c,-0.371551633,0.772950733
Map3k1,-0.205659151,0.867142409
Gpx8,0.405874908,1.324892134
Fst,1.020974874,2.029289751
Itga1,-0.375920206,0.770613729
Fgf10,0.533645332,1.447582259
Krit1,-0.130330816,0.913621929
Steap2,-0.317854941,0.802261828
Zfp804b,1.378226042,2.599485381
Sri,0.129916877,1.094230653
Abcb1a,0.231595337,1.174132592
Grm3,-0.26126793,0.834354315
Sema3a,0.28646335,1.219646745
Pclo,-0.459284693,0.727346797
Cacna2d1,-0.239764795,0.84688337
Hgf,0.949529886,1.931243244
Gnai1,-0.294362247,0.81543272
Magi2,-0.297698766,0.813549049
Phtf2,-0.258109629,0.836182857
Rsbn1l,-0.264832228,0.832295517
Ptpn12,-0.192994669,0.874787997
Armc10,0.336956084,1.263088812
Pmpcb,0.136409104,1.099165863
Dnajc2,0.197836608,1.146977116
Reln,-0.269169986,0.829796809
Kmt2e,-0.281485826,0.822743241
Pus7,0.127363309,1.09229558
Rint1,0.17830126,1.131550726
Atg9b,0.697802663,1.622032428
Cdk5,0.161780909,1.118667205
Agap3,-0.206202626,0.866815811
Smarcd3,0.306307048,1.236538404
Kmt2c,-0.302095979,0.811073195
Actr3b,-0.222167775,0.857276336
Htr5a,0.215540484,1.161138836
Ube3c,-0.151950017,0.900033112
Gareml,-0.342135221,0.788872898
Hadha,0.120266132,1.08693535
Ept1,-0.123956844,0.917667332
Gm9899,-0.364855438,0.776546683
Kcnk3,-0.345105588,0.787250357
Dpysl5,-0.396874011,0.759502169
Tmem214,0.138160154,1.10050077
Cgref1,0.361485928,1.284748465
Cad,-0.423170149,0.745784051
Mpv17,0.196342245,1.145789677
Eif2b4,0.154371753,1.112936865
Snx17,0.144321203,1.105210523
Zfp512,0.098984502,1.071019318
Supt7l,0.180290863,1.13311231
Slc4a1ap,0.124191388,1.089896689
Ppp1cb,-0.337511271,0.791405353
Prr14l,-0.262696773,0.833528381
Ywhah,-0.723136306,0.605779094
Slc5a1,-0.529706597,0.692695594
Uvssa,0.213952661,1.159861595
Tacc3,0.254687995,1.193077693
Whsc1,-0.205519184,0.867226541
Tnip2,0.393230081,1.313330558
Htt,-0.400293648,0.757704043
Lrpap1,0.25835371,1.196113016
Acox3,0.168264121,1.123705606
Ablim2,-0.260028958,0.835071157
Tada2b,-0.164169341,0.892442212
Tbc1d14,-0.406452924,0.754476085
Wfs1,-0.342060417,0.788913802
Jakmip1,0.193659425,1.143660959
Evc2,0.260787874,1.198132842
Stx18,0.177309319,1.130772983
Nsg1,-0.485429019,0.714284629
Lyar,0.183705196,1.135797149
Cpeb2,-0.455228955,0.729394409
Cd38,0.31852898,1.247058358
Ldb2,0.574369729,1.489026809
Fam184b,-0.324661225,0.798485865
Kcnip4,-0.182514116,0.881166091
Gpr125,0.147575572,1.107706423
Ppargc1a,-0.258081943,0.836198904
NA,-0.277729094,0.82488843
Ccdc149,-0.211921662,0.863386439
Arap2,-0.351052612,0.784011862
3110047P20Rik,-0.917363644,0.529475692
Rell1,0.252326339,1.191126253
Lias,0.156895652,1.114885578
Ugdh,-0.312697172,0.805135121
Ube2k,-0.306415707,0.808648306
Pds5a,-0.137797609,0.908905615
Apbb2,-0.219864607,0.858646014
Uchl1,0.694028139,1.617794251
Shisa3,0.947566807,1.928617183
Atp8a1,-0.250738293,0.8404662
Gabra2,-0.766769528,0.587732047
Corin,-1.2289505,0.426627687
Nfxl1,-0.326497912,0.797469964
Tec,0.423082441,1.340789207
Fryl,-0.262789428,0.83347485
Rasl11b,-0.386238933,0.765121658
Fip1l1,-0.118450105,0.921176744
Kit,-0.3572703,0.78064022
Clock,-0.114525899,0.923685804
C530008M17Rik,-0.468078732,0.722926694
Srp72,0.125562638,1.090933104
Noa1,-0.201995328,0.869347375
Igfbp7,0.390050977,1.310439707
Lphn3,-0.221087217,0.857918664
Uba6,-0.243929207,0.844442323
Rufy3,0.128952056,1.093499118
Mob1b,-0.378076822,0.769462636
Slc4a4,-0.415230751,0.749899543
Adamts3,-0.544034481,0.685850252
Ankrd17,-0.172059834,0.887574525
Pf4,0.804988623,1.747132014
Parm1,-0.182537645,0.88115172
Uso1,-0.573984027,0.67175915
Naaa,0.288587958,1.2214442
Sdad1,0.145406872,1.106042538
Sept11,-0.553044915,0.681580084
Cnot6l,-0.265650094,0.831823822
Anxa3,0.351736307,1.276095505
Rasgef1b,0.225169405,1.168914498
Hnrnpd,-0.370481551,0.773524262
Tmem150c,0.314251184,1.24336613
Coq2,0.212829992,1.158959372
Hpse,1.102045178,2.146587793
Cds1,-0.286062062,0.82013763
Wdfy3,-0.460781246,0.726592689
Mapk10,-0.174113616,0.886311897
Aff1,-0.582904339,0.667618418
Nudt9,0.275508016,1.21042024
Sparcl1,0.214133233,1.160006776
Gbp9,0.453385472,1.369249613
Lrrc8c,-0.279768169,0.823723373
Lrrc8d,-0.237283632,0.848341102
A830010M20Rik,0.157764837,1.115557469
1700028K03Rik,0.177949473,1.131274842
Rpl5,0.208730772,1.155671021
Fam69a,-0.223483369,0.856494942
Dr1,-0.209591821,0.864781868
Cplx1,0.276591927,1.211329981
Pole,0.487085402,1.401610417
Fbrsl1,-0.311778903,0.805647749
Ep400,-0.318900138,0.801680819
Gm26079,-0.399810702,0.75795773
Gm15559,0.595506787,1.511003275
Ulk1,-0.507098615,0.703636089
Pitpnb,-0.282077253,0.82240603
NA,0.730299532,1.658983494
Tpst2,0.265670449,1.202194603
Sez6l,-0.574214458,0.671651864
Myo18b,-0.872763097,0.54609994
Iscu,0.249694943,1.188955685
Ssh1,-0.321960479,0.799982043
Ube3b,-0.326743752,0.797334085
Mmab,0.392727286,1.312872928
Mvk,0.23809956,1.179437982
Fam222a,-1.155487418,0.448914494
Ankrd13a,0.123638675,1.089479216
1500011B03Rik,0.25229153,1.191097514
2610524H06Rik,0.318522662,1.247052897
Oasl2,0.486080825,1.400634788
2210016L21Rik,0.219045758,1.163963451
Sppl3,-0.291477531,0.817064836
Mlec,-0.167705357,0.890257533
Rnf10,-0.458504915,0.727740035
Sirt4,0.24788402,1.187464201
NA,-0.508118153,0.703139013
Gcn1l1,-0.256675899,0.837014257
Rab35,0.18342036,1.135572927
Ccdc64,-0.1495855,0.901509437
Srrm4,-0.370439321,0.773546905
Taok3,0.167788163,1.123334947
Pebp1,-0.185408458,0.879400064
Wsb2,-0.422730893,0.746011154
Ksr2,-0.500798345,0.706715598
Nos1,-0.641593397,0.641004595
Tesc,0.453862667,1.369702589
Hrk,1.316463113,2.490547822
Rnft2,-0.186720237,0.878600827
2410131K14Rik,0.132747218,1.096379469
Med13l,-0.339531273,0.790298036
Lhx5,-0.824945748,0.56450343
Plbd2,-0.267385215,0.830823993
Slc8b1,-0.259500533,0.83537708
Tpcn1,-0.277716875,0.824895416
Dtx1,-0.277540952,0.824996011
Rph3a,-0.478916764,0.717516163
Ptpn11,-0.126157656,0.91626851
Gm15800,-0.487140357,0.71343784
Erp29,-0.352393478,0.783283526
Cux2,-0.291180998,0.817232793
Cux2,-0.350426465,0.784352207
Pptc7,-0.30635941,0.808679862
Fam216a,0.20607914,1.153548882
Gpn3,0.240868896,1.181704156
Arpc3,0.172932714,1.127347833
Anapc7,0.117342681,1.084735033
Atp2a2,-0.932669997,0.523887884
Anapc5,0.143091574,1.104268938
Rhof,0.241170868,1.181951525
Setd1b,-0.499846697,0.707181924
Psmd9,0.185907528,1.137532313
Mlxip,-0.355991334,0.781332574
Diablo,0.120682038,1.087248741
Denr,0.143249691,1.10438997
Arl6ip4,0.210627228,1.157191177
Pitpnm2,-0.474272281,0.719829792
Sbno1,-0.164007872,0.892542101
Ddx55,0.245414436,1.185433256
Zfp664,-0.197623029,0.871986056
Ncor2,-0.471967012,0.720980921
Bri3bp,-0.17308262,0.88694551
Tmem132d,0.451725423,1.36767498
Gbas,0.210162535,1.156818505
Vkorc1l1,-0.170653686,0.888440037
Asl,0.203274265,1.151308341
Tpst1,0.147363722,1.107543776
Rabgef1,-0.154249281,0.898599846
Gm15920,0.768469691,1.703461913
Sbds,0.140829891,1.102539154
Caln1,-0.187028527,0.878413099
Wbscr17,-0.386559993,0.764951406
Auts2,-0.535185874,0.690069764
Gatsl2,-0.260559052,0.834764381
Gtf2i,-0.36306414,0.777511468
Rfc2,0.186019167,1.137620342
Limk1,0.23069708,1.173401776
Wbscr27,0.403736353,1.322929657
Abhd11,0.22497642,1.168758146
Stx1a,0.843343437,1.794203383
Wbscr22,0.193991855,1.143924515
Bcl7b,0.206855386,1.15416972
Nsun5,0.184230268,1.1362106
Pom121,-0.755751431,0.592237837
Hip1,-0.293948293,0.815666727
Mdh2,-0.151643828,0.90022415
Ywhag,-0.217803627,0.85987352
Polr2j,0.239745855,1.180784636
Prkrip1,0.159672052,1.117033189
Sh2b2,-0.418223828,0.748345382
Col26a1,0.561181307,1.475476872
Rabl5,0.211345598,1.157767527
Znhit1,0.229874656,1.172733055
Ufsp1,0.234503776,1.176502002
Mospd3,-0.441320539,0.736460198
Agfg2,-0.429922879,0.742301465
Cops6,-0.23161754,0.851679459
Mcm7,0.207431421,1.154630644
Taf6,0.142226234,1.103606787
6330418K02Rik,0.353544086,1.277695528
Fam20c,-0.164827496,0.892035174
Prkar1b,0.266524971,1.202906885
Gm24146,-0.536384881,0.689496493
Mad1l1,0.239870712,1.180886831
Eif3b,-0.199981794,0.870561549
Ttyh3,-0.465689868,0.724124733
Amz1,-0.371271998,0.773100568
Foxk1,-0.65243119,0.636207291
Mmd2,0.348095804,1.27287946
Slc29a4,-0.282386512,0.822229756
Tnrc18,-0.488252044,0.712888304
Fbxl18,-0.343584895,0.788080607
Actb,0.17002812,1.125080414
Rnf216,-0.216558382,0.86061603
Zdhhc4,0.220520556,1.165153924
Grid2ip,-1.709136367,0.3058431
Fam220a,-0.213892505,0.862207786
Fam220a,-0.192811921,0.874898815
Cyth3,-0.573027968,0.672204465
Usp42,-0.19926998,0.870991183
Lmtk2,-0.467499256,0.723217125
Tmem130,0.225883231,1.169493003
Trrap,-0.462488651,0.725733287
Arpc1b,0.390464783,1.310815632
Pdap1,0.414496809,1.332833723
Cpsf4,0.197578654,1.146772055
Zkscan14,0.190662369,1.141287583
Zkscan5,0.156422421,1.114519935
Zfp655,-0.16105862,0.894368561
Wasf3,-0.252237529,0.839593249
Pan3,-0.237467229,0.84823315
Mtus2,-0.377124578,0.769970684
Uspl1,-0.111523353,0.925610187
Gm24105,-0.971805513,0.509867571
Hsph1,-0.448500335,0.732804194
Fry,-0.443077892,0.735563658
N4bp2l1,0.141718522,1.103218475
Pds5b,-0.300655425,0.811883469
Stard13,0.15168339,1.110864915
Rfc3,0.293835968,1.22589547
Peg10,-0.58164829,0.668199918
Asb4,-1.01821053,0.493728376
Slc25a13,0.280073464,1.214256714
Asns,0.191119224,1.141649049
Phf14,-0.197394028,0.872124479
Thsd7a,-0.443971455,0.735108213
Gpr85,0.153114825,1.111967657
Met,1.038847327,2.054585441
Cftr,1.326976657,2.508763816
Cttnbp2,-0.587947786,0.665288598
Kcnd2,-0.265611649,0.831845988
Fam3c,0.159153372,1.116631664
Ptprz1,-0.53578198,0.689784693
Wasl,-0.538278997,0.688591846
Prrt4,-0.832864642,0.561413382
Ahcyl2,-0.18181549,0.8815929
Strip2,-0.742010415,0.597905582
Tmem209,0.150461599,1.109924543
Cpa2,0.450087517,1.366123127
Mkln1,-0.110898688,0.926011048
Podxl,0.231255963,1.173856426
Plxna4,-0.413025022,0.751046937
Exoc4,-0.095353544,0.936042835
Akr1b8,0.663174152,1.583562877
Cald1,0.244604468,1.184767908
Cnot4,-0.159750149,0.895180088
Chrm2,0.450352281,1.366373861
Dgki,-0.258315414,0.836063593
Creb3l2,-0.29414016,0.815558257
Clec2l,-0.204363748,0.86792137
Hipk2,-0.59558785,0.661774749
Parp12,0.194663763,1.1444574
Jhdm1d,-0.247032821,0.84262766
Slc37a3,-0.245260745,0.843663303
Adck2,-0.180032998,0.882682807
Braf,-0.199294537,0.870976357
Tmem178b,-0.294397414,0.815412844
Arhgef5,0.370584577,1.292876596
Tpk1,-0.358860135,0.779780436
Zfp783,0.322169423,1.250209112
NA,0.227168247,1.170535141
Zfp956,0.145470038,1.106090965
Gimap6,0.495906621,1.410206682
Tmem176b,0.341782868,1.26732177
Ccdc126,0.388497055,1.309028996
Mpp6,-0.20200868,0.86933933
4921507P07Rik,-0.323575437,0.799087041
Gm15051,1.310365677,2.480043932
Hoxa2,1.155613661,2.227790642
Hoxa4,2.177061558,4.522315225
Hoxa5,1.977420449,3.937883551
Hoxa6,2.130550146,4.378844281
Tril,-0.448762685,0.732670948
Wipf3,-0.414751381,0.750148756
Fkbp14,-0.227329686,0.854214513
Plekha8,-0.144807652,0.904499963
Kbtbd2,-0.089481205,0.939860664
Herc6,0.30482316,1.235267214
Pyurf,0.192735314,1.142928628
Abcg2,0.407711864,1.326580168
Fam13a,-0.229928479,0.852677162
Gprin3,0.335149348,1.261507993
Ccser1,-0.204899877,0.867598896
Grid2,-0.842559516,0.557653346
Gng12,-0.162431091,0.893518131
Eif2ak3,0.266623467,1.202989014
Thnsl2,0.350726038,1.275202213
Rmnd5a,-0.215877444,0.861022329
Rnf103,-0.173037633,0.886973168
Chmp3,0.151665971,1.110851502
Gm22486,-0.633164227,0.644760726
St3gal5,-0.202155262,0.869251007
Rnf181,0.199404776,1.148224525
Capg,0.481749535,1.396436077
Elmod3,0.185226247,1.136995265
Tgoln1,-0.102679826,0.931301478
Lrrtm1,0.479914188,1.394660709
Hk2,-0.328799456,0.796198768
Htra2,0.191804245,1.142191256
Aup1,0.137172058,1.099747299
Pcgf1,0.249369249,1.188687303
Wbp1,0.186945051,1.138350671
Rtkn,0.225818038,1.169440157
Wdr54,0.251583248,1.190512896
1700003E16Rik,0.52877754,1.442706208
Tet3,-0.404111207,0.755701711
Stambp,-0.462880462,0.725536217
Tex261,-0.323513538,0.799121327
Nagk,0.204280362,1.152111513
Zfml,-0.160708874,0.894585405
Exoc6b,-0.266676515,0.831232222
Rab11fip5,-0.365696222,0.776094254
Fbxo41,-0.265546501,0.831883553
Alms1,-0.164229333,0.892405102
Cml1,-0.221276179,0.857806303
Tprkb,0.249532908,1.188822156
Pcyox1,0.112876765,1.081382388
Pcbp1,-0.455599278,0.729207205
Gmcl1,-0.259237617,0.835529333
Anxa4,0.422024161,1.33980604
Aak1,-0.314802557,0.803961011
Nfu1,0.201309398,1.149741393
Gfpt1,-0.126759589,0.915886297
Rab43,-0.277456313,0.825044412
Sec61a1,-0.252511173,0.839434013
Plxna1,-0.252059251,0.839697006
Txnrd3,0.252838075,1.19154883
Zxdc,-0.232894838,0.850925754
Slc41a3,-0.354179353,0.78231452
Iqsec1,-0.412159413,0.751497696
Tmem43,0.258632094,1.196343841
Xpc,0.138048321,1.100415466
Slc6a6,-0.426260889,0.744188041
Ccdc174,0.220030665,1.164758344
Fgd5,0.349239439,1.27388888
Nr2c2,-0.186648235,0.878644678
Suclg2,0.28945446,1.222178037
Ppp4r2,-0.24235855,0.845362165
Cntn3,-0.689763308,0.619955553
Chl1,-0.19381772,0.874289077
Cntn6,-0.301154613,0.811602597
Cntn4,-0.215128362,0.861469508
Itpr1,-1.011840224,0.495913284
Edem1,-0.147807464,0.902621179
Lmcd1,-0.504576385,0.704867316
Srgap3,-0.430456042,0.74202719
Camk1,0.12810944,1.092860638
Prrt3,-0.265273154,0.832041185
Atp2b2,-0.929887354,0.524899324
Slc6a1,-0.151458159,0.900340012
Syn2,-0.30281949,0.810666544
Tsen2,0.187754855,1.138989821
Mkrn2,0.133964226,1.097304727
Fam21,-0.703479707,0.614089267
Zfand4,-0.573783934,0.671852326
Zfp422,0.172387555,1.126921916
Zfp637,0.140108451,1.101987952
Zfp239,0.139415205,1.10145855
Ret,-0.288666099,0.818658632
Zfp9,0.227077529,1.170461539
Lrtm2,-0.328011215,0.796633904
Fbxl14,-0.164106324,0.892481195
Erc1,-0.193115264,0.874714877
Wnk1,-0.443319142,0.735440666
Ccdc77,0.260689914,1.19805149
Slc25a18,0.29913649,1.230407745
Bcl2l13,-0.103492685,0.930776902
Bid,0.69102639,1.61443168
Tuba8,-0.573128343,0.672157699
Iqsec3,-0.362976819,0.777558529
Phc1,-0.1951987,0.873452589
Foxj2,-0.337788671,0.791253197
C3ar1,0.440892816,1.357444125
Necap1,0.10967043,1.078981726
Pex5,-0.189385131,0.876979406
Clstn3,-0.386031598,0.765231625
Gm23547,-0.398286372,0.758758999
Grcc10,0.181303307,1.133907777
Tpi1,0.201180831,1.149638937
Leprel2,0.210193381,1.156843238
Cops7a,0.136783138,1.09945087
Ing4,0.169424593,1.124609854
Nop2,0.192795947,1.142976663
Cd9,0.255216569,1.193514893
Ntf3,0.639894009,1.558214677
Kcna1,-0.171761036,0.887758371
Kcna6,-0.714542806,0.609398221
Rad51ap1,0.354227275,1.278300724
Prmt8,-0.714419425,0.60945034
Tspan11,-0.801118672,0.573903997
Fkbp4,0.156584576,1.11464521
Clec1a,0.482578516,1.397238708
Gabarapl1,0.259003043,1.196651487
Magohb,0.238904759,1.180096436
Etv6,-0.265914023,0.83167166
Lrp6,-0.181331962,0.88188842
Apold1,0.461288422,1.376770817
Atf7ip,-0.531127095,0.692013892
Arhgdib,0.6256271,1.542881328
Strap,-0.15673779,0.897051184
Plekha5,-0.14821896,0.902363764
Aebp2,-0.381305337,0.76774263
Pde3a,-0.310319215,0.806463299
Slco1c1,0.271476924,1.207042877
St8sia1,-0.520469666,0.697144843
Etnk1,-0.362679601,0.777718735
Sox5,-0.338688433,0.790759872
Bcat1,0.162771299,1.119435418
Kras,-0.245909974,0.843283731
Gm15706,0.402030438,1.321366284
Rassf8,-0.190166205,0.876504738
Rassf8,-0.262471974,0.83365827
Stk38l,-0.236811578,0.848618727
Far2,-0.716680467,0.608495936
Tmtc1,-0.51346463,0.700538075
Rps4y2,0.331464231,1.2582898
Ipo8,-0.103321485,0.930887361
Uty,-0.218371257,0.859535269
Prkcg,-1.010931134,0.496225874
Tfpt,0.238855332,1.180056006
Prpf31,0.12217363,1.088373421
Mboat7,-0.287118196,0.819537462
Cox6b2,-1.290469646,0.408817923
Zfp628,-0.428353727,0.743109271
U2af2,0.215927884,1.161450673
Gm20715,0.406938255,1.325869014
Gm15773,0.581022084,1.495908657
Chmp2a,0.148644567,1.108527505
Sepw1,-0.245372519,0.843597942
Gltscr2,0.163471341,1.119978736
Gltscr1,-0.356329829,0.781149274
Kptn,0.309186906,1.239009205
Bbc3,0.568839669,1.483330078
Sae1,0.21890828,1.16385254
Grlf1,-0.213393986,0.86250577
Ap2s1,0.17278403,1.127231654
Calm3,0.212085903,1.158361777
Pnmal1,0.264361888,1.201104677
Nova2,-0.728066266,0.603712566
Ercc1,0.200326979,1.148958731
Cd3eap,0.259201556,1.196816157
Klc3,0.958264053,1.942970576
Mark4,-0.373430371,0.771944819
Clasrp,0.236352935,1.178010938
NA,0.347770065,1.272592095
Apoe,0.371390343,1.293598887
Bcam,0.313489348,1.242709725
Zfp108,0.191382647,1.141857522
Zfp93,0.200283378,1.148924008
Zfp61,0.202024579,1.150311491
Atp1a3,-0.861372411,0.550428695
Cic,-0.379611254,0.76864468
Megf8,-0.440475702,0.736891592
Ccdc97,-0.231372476,0.851824142
Rab4b,0.308150053,1.238119059
Mia,0.284378022,1.217885093
Pld3,0.374758601,1.296622579
Akt2,-0.224618554,0.855821273
1700049G17Rik,-0.196531817,0.87264585
Psmc4,0.145304412,1.105963989
Supt5,0.176145375,1.129861061
Paf1,0.32626164,1.253760375
Samd4b,-0.325176746,0.798200592
Mrps12,0.156434968,1.114529627
Sirt2,0.171466485,1.126202676
Rinl,0.451811224,1.367756322
Actn4,-0.211628914,0.863561653
Eif3k,0.187285602,1.138619413
Ryr1,-0.357359022,0.780592214
Sipa1l3,-0.53946197,0.68802745
Zfp566,0.287625819,1.220629886
Clip3,-0.476157695,0.718889683
Lrfn3,-0.379738867,0.768576693
Tyrobp,0.534375608,1.448315194
Kirrel2,0.557888985,1.472113579
U2af1l4,0.198347941,1.14738371
Cox6b1,0.158515736,1.11613825
NA,0.383252263,1.304278776
Fxyd5,0.607751191,1.523881997
Fxyd7,0.630578399,1.548185561
Gramd1a,0.193683654,1.143680166
Lsm14a,-0.329294324,0.795925706
Chst8,-0.881267965,0.542890083
Pepd,-0.239299625,0.847156476
Dpy19l3,-0.617760599,0.651681706
Tshz3,-0.341157198,0.789407867
Zfp536,-0.253311664,0.838968376
1600014C10Rik,0.178977937,1.132081589
Gm5595,-0.360919207,0.778668296
Zfp715,-0.147382572,0.902887052
Zfp658,-0.423952609,0.745379678
Shank1,-0.904189229,0.534332906
Kcnc3,-1.017824292,0.493860575
Fuz,0.213520601,1.159514291
Ap2a1,-0.240450457,0.846480972
Prr12,-0.505816936,0.704261471
Rcn3,0.479778796,1.394529831
Rps11,0.202924386,1.151029162
Rpl14-ps1,0.50535816,1.419475708
Snrnp70,0.438035607,1.354758414
Ftl1,0.249132559,1.188492302
Gm22133,0.315837979,1.244734439
Car11,0.37419489,1.296116043
Dbp,0.344201028,1.269447761
Lmtk3,-0.304546088,0.80969693
Cyth2,0.16294229,1.119568104
Nomo1,-0.750173807,0.594531928
Kcnc1,-0.603010535,0.658378653
Sergef,-0.266275972,0.831463033
Ldha,-0.213033363,0.862721393
Nell1,-0.786105812,0.579907294
Herc2,-0.275321335,0.826266262
Gabra5,1.061649561,2.087316772
Atp10a,0.4501082,1.366142712
Ube3a,-0.216027319,0.860932885
Gm24966,-0.398263514,0.758771021
NA,0.678212345,1.60015576
A230006K03Rik,0.955536842,1.939301134
NA,-0.560393453,0.678117202
Chrna7,-0.359451413,0.779460914
Klf13,-0.48668319,0.713663953
Fam189a1,-0.533075392,0.691079988
Ndnl2,0.165331125,1.121423436
Pcsk6,-0.701525152,0.614921796
Vimp,-0.270744324,0.828891789
Chsy1,-0.204818204,0.867648014
Igf1r,-0.346764117,0.78634585
Rgma,-0.418624133,0.748137767
Fam174b,-0.737108588,0.599940533
Slco3a1,-0.150872946,0.900705299
Gm9885,0.43374449,1.35073484
Rlbp1,0.27870068,1.213101848
9330171B17Rik,0.753775001,1.686199224
Ap3s2,-0.100178599,0.932917493
2610034B18Rik,0.139952376,1.101868742
Idh2,0.240887344,1.181719266
Ngrn,0.143179357,1.104336131
Rccd1,0.345123202,1.270259454
Crtc3,-0.329923689,0.795578564
Cpeb1,-0.586048186,0.666165162
Whamm,0.19395645,1.143896442
Tm6sf1,-0.350035518,0.784564782
Mex3b,0.181597963,1.134139389
Gm7964,0.29361403,1.225706898
Mesdc1,-0.601533949,0.659052843
Mesdc2,0.145298481,1.105959443
9930013L23Rik,0.256131053,1.194271669
Abhd17c,-0.468895078,0.722517743
Tmem135,-0.160890028,0.894473082
Me3,0.163210139,1.11977598
Dlg2,-0.492337346,0.710872462
Gab2,-0.270062536,0.829283598
Rsf1,-0.155610621,0.897752319
Prkrir,-0.202589616,0.86898934
Wnt11,0.942322493,1.921619229
Gdpd5,-0.266338885,0.831426776
Arrb1,-0.211873814,0.863415074
Pold3,0.212514445,1.158705911
Pgm2l1,-0.220321476,0.858374143
Ppme1,0.149984047,1.109557203
C2cd3,-0.35844326,0.780005791
Fam168a,-0.339517295,0.790305692
Fchsd2,-0.2709876,0.828752028
Arap1,-0.610740185,0.654860635
Trpc2,0.231898397,1.174379262
Nup98,-0.191519186,0.875683124
Fam160a2,-0.243643671,0.84460947
Cckbr,0.874783278,1.833732601
Rrp8,0.164752617,1.120973845
Ilk,0.112248957,1.080911912
Dchs1,-0.41879499,0.748049171
Mrpl17,0.114213623,1.082384904
Syt9,-0.198567584,0.87141534
Eif3f,-0.242773965,0.845118783
Tub,-0.128270134,0.914927838
St5,0.218898326,1.16384451
Tmem41b,-0.165926903,0.891355657
Ipo7,-0.151324168,0.900423635
Zfp143,0.165503293,1.121557272
Swap70,0.298635364,1.229980432
Lyve1,0.749203265,1.680864309
Ctr9,0.154436395,1.112986732
Eif4g2,-0.217707142,0.859931029
Galnt18,-0.20548974,0.867244241
Dkk3,0.216799155,1.162152307
Mical2,-0.298788458,0.812934794
Parva,-0.248720288,0.841642645
Tead1,-0.325246096,0.798162224
NA,-0.342562586,0.788639247
Arntl,-0.260467142,0.834817563
Btbd10,-0.13523297,0.910522788
Far1,-0.200152874,0.870458321
Copb1,-0.203195393,0.868624534
Pde3b,-0.137326226,0.909202637
Sox6,-0.200149313,0.87046047
1110004F10Rik,0.217894927,1.163035333
Nucb2,0.405445755,1.324498082
Xylt1,-0.507941484,0.703225122
Coq7,0.22620292,1.169752182
9030624J02Rik,0.096062109,1.068852005
Tmem159,0.37347424,1.295468773
NA,0.347779721,1.272600612
BC030336,-0.181470707,0.881803613
Mettl9,-0.166864499,0.89077656
Hs3st2,0.857604444,1.81202699
Usp31,-0.378178507,0.769408404
Ubfd1,-0.109472521,0.926926904
