,Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
365,Uqcrc2,-0.192645078,0.875
366,Hr,-0.448114897,0.733
367,AI118078,-0.209227962,0.865
368,LOC435684,-0.30222618,0.8109999999999999
369,A930004K21Rik,-0.325539348,0.7979999999999999
370,Arpc5l,-0.277533976,0.825
371,Snapc2,-0.16326792,0.893
372,D0H4S114,-0.16326792,0.893
373,Prkwnk1,-0.788364747,0.579
374,Xab2,-0.209227962,0.865
375,C230027N18Rik,-0.318325858,0.802
376,Phc2,-0.275786313,0.826
377,Atad3a,-0.33825040000000006,0.7909999999999999
378,Clu,-0.286304185,0.82
379,Mmp16,-0.531156057,0.6920000000000001
380,Ppib,-0.224317298,0.856
381,Zfp64,-0.444183845,0.735
382,Edf1,-0.345564459,0.787
383,Slc44a2,-0.37145968100000004,0.773
384,Mrps24,-0.274040765,0.8270000000000001
385,Btbd10,-0.20589610100000003,0.867
386,Commd9,-0.321928095,0.8
387,Sfrs8,-0.40927823,0.753
388,Zfp258,-0.236163541,0.8490000000000001
389,Dhx30,-0.18278607600000002,0.8809999999999999
390,Fgf11,-0.42081985200000005,0.747
391,Ppgb,-0.251538767,0.84
392,1110014J01Rik,-0.24639546399999998,0.843
393,Vcam1,-0.314732593,0.804
394,Stim1,-0.330973234,0.795
395,Myd116,-0.169744676,0.889
396,Smarcd2,-0.289827252,0.818
397,Tmed4,-0.174621396,0.8859999999999999
398,Deaf1,-0.30222618,0.8109999999999999
399,Vars2,-0.375197235,0.7709999999999999
400,2310028N02Rik,-0.311148256,0.8059999999999999
401,Cib1,-0.314732593,0.804
402,Slc20a1,-0.307572802,0.8079999999999999
403,Mmp17,-0.369594529,0.774
404,Cd2bp2,-0.251538767,0.84
405,Slc14a1,-0.318325858,0.802
406,Wdr12,-0.356605547,0.7809999999999999
407,Cacnb3,-0.37145968100000004,0.773
408,Plcb3,-0.543719518,0.6859999999999999
409,H47,-0.215914857,0.861
410,Iap,-0.15682011,0.897
411,Rbp1,-0.40736357100000004,0.754
412,Nab1,-0.5734668620000001,0.672
413,Taf10,-0.16326792,0.893
414,Sdc4,-0.46394709999999995,0.725
415,Dusp1,-0.347398782,0.7859999999999999
416,Msra,-0.189351252,0.877
417,3010026O09Rik,-0.438307279,0.738
418,4632409L19Rik,-0.6461121639999999,0.639
419,Gria1,-0.29512803600000004,0.815
420,Ercc4,-0.291592017,0.8170000000000001
421,Rhou,-0.35291578700000004,0.7829999999999999
422,Ctcf,-0.380821784,0.768
423,Gli1,-0.522840789,0.696
424,A930040G15Rik,-0.189351252,0.877
425,Rap2ip,-0.19594644100000003,0.873
426,Rab3d,-0.57132159,0.6729999999999999
427,Mapk12,-0.300448367,0.812
