,Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
137,Gabbr2,-0.371693075,0.7728749570000001
138,Opcml,-0.41164490600000003,0.75176575
139,Mfge8,-0.42498630299999995,0.7448458029999999
140,Cbln3,-0.427214324,0.743696391
141,Paqr6,-0.78910768,0.578701914
142,Snca,0.594715118,1.51017435
143,Zfp644,-0.311545461,0.8057781209999999
144,Amica1,-0.934761107,0.523129087
145,Rph3a,-0.35545170299999995,0.7816248809999999
146,Gng12,0.491534859,1.405939836
147,Aldoc,-0.467746615,0.723093135
148,Clu,-0.326778501,0.79731488
149,Glra2,0.867656291,1.824696207
150,Gabbr1,-0.326657087,0.797381983
151,Rims4,-0.388517231,0.763914335
152,Akr1a1,0.234546557,1.17653689
153,Mus81,-0.5511989589999999,0.682452737
154,Id2,-0.38541463,0.765558945
155,Usp18,1.3712621930000002,2.586967972
156,Rif1,-0.439525306,0.73737719
157,Fam21,-0.39444047200000004,0.760784378
158,Syndig1l,0.966973484,1.954735605
159,Sdk1,1.056582451,2.079998447
160,Oasl2,1.276486397,2.422482757
161,Rnf213,0.9304152729999999,1.905824499
162,Ak4,-0.357139528,0.780710984
163,Calb1,-0.35536062700000004,0.781674225
164,Erc1,-0.374805629,0.7712093090000001
165,Zic1,-0.33378159999999996,0.79345395
166,Cgnl1,-0.61085254,0.654809637
167,Cd83,0.574176311,1.488827193
168,Marcks,0.546156228,1.4601901240000001
169,Med12l,-0.310210496,0.806524075
170,Tiam1,-0.350831687,0.78413193
171,Srgap3,-0.337115258,0.79162262
172,Carhsp1,0.513207555,1.427219819
173,Cdk5rap1,1.09863925,2.141526084
174,Aff2,0.52905041,1.442979106
175,Dpysl3,0.54333663,1.457339121
176,Gbp3,0.872317314,1.830600924
177,Stx1b,-0.40694949,0.754216443
178,2810459M11Rik,-0.710908711,0.610935208
179,Cbln1,-0.35048615899999996,0.784319753
180,Ncald,0.47794818899999997,1.392761462
181,Ubash3b,-0.452815205,0.7306157679999999
182,Nlgn1,0.368081719,1.290635594
183,Slc20a1,-0.371022016,0.773234538
184,Hspb8,-0.5819441679999999,0.668062893
185,Nsg1,-0.36983817799999996,0.773869294
186,Maf,-0.505937755,0.704202496
187,Cnksr2,-0.417795211,0.748567744
188,Tulp4,-0.331259906,0.794842045
189,Pcp2,-0.33612132100000003,0.792168192
190,Trabd2b,-0.8826751709999999,0.542360806
191,Pcdh11x,0.769862175,1.705106882
192,Dusp1,-0.75444597,0.592773981
193,Rnf123,-0.38232132799999996,0.7672021520000001
194,Pagr1a,-0.408168375,0.7535795
195,Zfp488,1.061147571,2.08659061
196,Aifm3,-0.49775067,0.708210103
197,Robo1,0.5130910870000001,1.4271046059999999
198,Tyro3,-0.503668487,0.705311033
199,Cntnap2,0.320311219,1.248599868
200,Elf2,-0.37801981,0.7694930440000001
201,Tgfb3,0.5062727929999999,1.4203759059999999
202,Agt,-0.528997242,0.693036267
203,Erbb4,0.48769140200000005,1.402199283
204,Tll1,-0.40854415299999997,0.7533832420000001
205,Map3k5,0.39744067200000005,1.3171691909999999
206,Prmt8,-0.380465925,0.76818946
207,Cic,-0.43584913,0.73925852
208,Strn3,-0.235384852,0.849458368
209,Camk4,-0.318698466,0.801792893
210,Eps8l2,-0.484478533,0.7147553740000001
211,Pms1,-0.416561157,0.749208329
212,Dscam,0.44445356700000005,1.360798605
213,Mtcl1,-0.46294018600000003,0.7255061829999999
214,Hrh3,-0.849078178,0.555139333
215,Baiap2,-0.34475213299999996,0.787443254
216,Pls1,-0.625368536,0.64825416
217,Gprasp2,0.342235744,1.267719657
218,Ampd2,-0.42203873399999997,0.746369153
219,Gprin1,-0.341028005,0.789478562
220,Lurap1,-0.28469678800000003,0.820914123
221,Prrt2,-0.45868501100000003,0.727649195
222,Cox6b2,-1.022582769,0.492234346
223,Rbfox1,-0.34728810200000004,0.786060303
224,Hsph1,0.453459024,1.3693194219999998
225,Syt16,0.817711651,1.762607992
226,Fam135b,-0.37831702799999994,0.769334532
227,Slc38a2,-0.279993057,0.823594981
228,Il33,-0.870020688,0.547139005
229,Anln,0.411335915,1.329916728
230,Cnnm4,-0.5084756020000001,0.7029648209999999
231,Sult4a1,0.261555463,1.19877048
232,Trak2,0.306982756,1.237117691
233,Srcin1,-0.417618245,0.748659572
