Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
Marc2,0.249564782,1.188848421
Wiz,-0.304773241,0.809569452
Ap1s2,0.245044157,1.185129044
Fmnl3,-0.471519053,0.721204822
Morn1,-0.518067062,0.698306806
Klf16,-0.563400745,0.676705141
Gm20507,-0.53307426,0.69108053
P4ha1,0.287704587,1.220696532
Ehd3,0.182964638,1.135214276
Pvrl4,-0.444723248,0.734725245
Caln1,-0.227788076,0.853943145
Mfsd2a,0.462716013,1.378133848
Id4,-0.271510154,0.828451902
Slc14a1,-0.407608837,0.753871827
Rnf19b,-0.249551237,0.841158024
Rnpep,0.280908376,1.214959629
Lypd6,-0.417796522,0.748567064
Trim30a,0.647543192,1.566498287
Tpbg,0.545941889,1.459973203
Gm15513,-0.569825411,0.673698312
Bag2,0.371390074,1.293598647
Fam110a,-0.672883868,0.627251592
Folh1,0.450217664,1.366246371
