Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
Mgll,-0.234465254,0.85
Stat2,-0.20756107,0.866
Cbx5,-0.401634795,0.757
Lhx1,-0.486004021,0.714
Mus81,-0.426625474,0.744
Ptpn12,-0.469929258,0.722
B3galt1,-0.347398782,0.786
Bcar1,-0.510457064,0.702
Manba,-0.364013496,0.777
Zfp36l1,-0.564904848,0.676
Myo10,-0.320125852,0.801
Tesk1,-0.438307279,0.738
Kcnj9,-0.392137097,0.762
Bicd2,-0.440263476,0.737
Cacna2d2,-0.358453971,0.78
Fut9,-0.49410907,0.71
Kcnd2,-0.50021788,0.707
Ipo4,-0.345564459,0.787
Dap3,-0.215914857,0.861
Arhgap5,-0.242976753,0.845
Ppp1r14b,-0.343732465,0.788
Dock9,-0.274040765,0.827
Stk17b,-0.506352666,0.704
Map3k7ip2,-0.3382504,0.791
Gsk3b,-0.30222618,0.811
Rbm21,-0.320125852,0.801
Dap,-0.467932448,0.723
Bxdc2,-0.222632891,0.857
Zfp410,-0.446148032,0.734
Arhgef12,-0.432454552,0.741
Tinf2,-0.352915787,0.783
Nomo1,-0.325539348,0.798
Nomo1,-0.177881725,0.884
Lrrc49,-0.307572802,0.808
Spcs3,-0.231074664,0.852
Ttc4,-0.293358943,0.816
Rnh1,-0.229382353,0.853
AW049765,-0.839079812,0.559
Dcamkl1,-0.444183845,0.735
BC020025,-0.231074664,0.852
Senp1,-0.826232932,0.564
Tm6sf1,-0.343732465,0.788
NA,-0.291592017,0.817
BC023488,-0.579921884,0.669
D2Bwg0891e,-0.222632891,0.857
Ubl7,-0.227692025,0.854
Rhobtb2,-0.268816758,0.83
Fbxw2,-0.502259911,0.706
Tdrd3,-0.329159664,0.796
Stx4a,-0.309359421,0.807
Recc1,-0.492078535,0.711
E330036I19Rik,-0.244685096,0.844
Camk1d,-0.444183845,0.735
Crsp3,-0.284545873,0.821
Asahl,-0.277533976,0.825
6430548M08Rik,-0.360304767,0.779
Igfbp5,-1.177881725,0.442
2810421I24Rik,-0.341902795,0.789
2310047B19Rik,-0.236163541,0.849
Phf20,-0.284545873,0.821
Centd1,-0.212567535,0.863
Zfyve26,-0.265344567,0.832
Phf22,-0.418889825,0.748
Itsn1,-0.334607229,0.793
Synj2,-0.545824107,0.685
Mef2a,-0.214240226,0.862
AA536743,-0.300448367,0.812
Jarid1a,-0.867752202,0.548
Suz12,-0.254977851,0.838
B230208H17Rik,-0.227692025,0.854
Abcf1,-0.336427665,0.792
Sfrs2,-0.304006187,0.81
Car7,-0.305788392,0.809
Hist1h2bp,-0.312939312,0.805
Trim62,-0.291592017,0.817
Eif2s1,-0.166502663,0.891
Lman1,-0.327348371,0.797
0610009O20Rik,-0.378944497,0.769
AA415817,-0.199255376,0.871
Fip1l1,-0.321928095,0.8
Gtf3c2,-0.256700472,0.837
Lphn1,-0.289827252,0.818
Sfrs2ip,-0.529072743,0.693
2310007H09Rik,-0.224317298,0.856
Rgs8,-0.384583703,0.766
Wnk2,-0.204233052,0.868
6330583M11Rik,-0.147202107,0.903
Mrps7,-0.256700472,0.837
Ndst3,-0.698997744,0.616
1500011J06Rik,-0.118726939,0.921
Pwp1,-0.388355457,0.764
4933426M11Rik,-0.219269964,0.859
Ankrd28,-0.200912694,0.87
Mipol1,-0.16326792,0.893
Gna12,-0.311148256,0.806
Mtdh,-0.241270432,0.846
4932416N17Rik,-0.380821784,0.768
Bai1,-0.263611599,0.833
A030012M09Rik,-0.282789701,0.822
Adcy2,-0.325539348,0.798
Abcc8,-0.512513651,0.701
Bace1,-0.284545873,0.821
Cbl,-0.531156057,0.692
2610507B11Rik,-0.778432211,0.583
D6Wsu116e,-0.332789088,0.794
Psmd11,-0.364013496,0.777
Eif3s8,-0.241270432,0.846
3110001I20Rik,-0.40545145,0.755
